,GradientBoosting_LogLoss,GradientBoosting_ROCAUC,LogReg_LogLoss,LogReg_ROCAUC,RandomForest_LogLoss,RandomForest_ROCAUC,XGB_LogLoss,XGB_ROCAUC
0,-0.49702367773815187,0.7722563969846579,-0.6093261639990346,0.7166740767284246,-1.6416398748882,0.7264128886411495,-0.4935365047628781,0.7581894454177062
1,-0.7331371354577837,0.7252530124686538,-0.6829593974995855,0.693222568712204,-1.597170490253705,0.7359613601352057,-0.6331355036389021,0.7268167666252873
2,-0.6695772943458521,0.7358972345612539,-0.6736204714051601,0.6952869261103882,-1.6729232532529874,0.715091134343389,-0.6094223546688674,0.7358972345612539
3,-0.4610988840396562,0.7683080808080809,-0.6212416965501016,0.7259228247386142,-1.0703015463635372,0.7422594364699627,-0.5471897771116346,0.7445995038100301
4,-0.7482878965931821,0.7099260145312778,-0.6509925549278363,0.6847426014531278,-2.2236199527495724,0.709447988658515,-0.5987130168282117,0.6959228247386142
5,-0.8214197702620202,0.6756542604156341,-0.5842817542799804,0.7173387382597909,-1.1514978092989898,0.6831636540847068,-0.5757008890698975,0.7168890660995925
6,-0.7559212967224737,0.6986904129009393,-0.6141591331851934,0.6697629806840333,-2.2236791933249833,0.6986904129009393,-0.6770947489421815,0.6836904129009392
7,-0.5514181777197878,0.7538131313131313,-0.4736830003492781,0.7364934432039696,-1.0130635496287337,0.7757004253056885,-0.5121490985931207,0.7479713804713805
8,-0.733905981178071,0.705268123125266,-0.6224451838575865,0.692620024762882,-2.8123768428446443,0.6737761838747061,-0.6597830795177843,0.7273442612728327
9,-0.5351266083185064,0.7543301614730186,-0.6412691006240224,0.7624319695748267,-1.143409635071819,0.6988509077794792,-0.6402200736910484,0.7298562119990691
