,GradientBoosting_LogLoss,GradientBoosting_ROCAUC,LogReg_LogLoss,LogReg_ROCAUC,RandomForest_LogLoss,RandomForest_ROCAUC,XGB_LogLoss,XGB_ROCAUC
0,-0.7142661943616716,0.6134453781512605,-0.6472811841514541,0.6708683473389356,-0.6963288556708356,0.5938375350140056,-0.7264434553005479,0.5420168067226891
1,-0.5346151137573337,0.8053221288515406,-0.4907564269665595,0.8571428571428571,-0.56278512688253,0.7759103641456583,-0.47598376223309474,0.8501400560224088
2,-0.6760363269776963,0.6680672268907564,-0.6562588923747132,0.6302521008403361,-0.7183607282461971,0.5791316526610645,-0.7182568628679622,0.6106442577030812
3,-0.8236254520252086,0.5873015873015872,-0.6622425846271797,0.6305916305916306,-1.3743511305689324,0.5180375180375181,-0.7778929691692745,0.5945165945165947
4,-0.8583176677565528,0.5281385281385282,-0.6450517459893645,0.6897546897546898,-2.6010830340107582,0.4581529581529582,-0.7314708718202181,0.6291486291486292
5,-0.6103311790446305,0.7215007215007215,-0.5591158617336527,0.7734487734487736,-0.6813586016236938,0.5865800865800866,-0.6060557349550503,0.7113997113997115
6,-0.6293254770421584,0.712121212121212,-0.4804426377852027,0.8500000000000001,-0.6211772089495577,0.6727272727272726,-0.6276083674176403,0.7121212121212122
7,-0.6539267035402689,0.6424242424242425,-0.6026042479339975,0.6742424242424241,-1.2903538341081164,0.5704545454545454,-0.6823214378629653,0.6151515151515151
8,-0.5637250866955109,0.7696969696969697,-0.5782699105536226,0.7378787878787879,-1.300690901772393,0.6121212121212122,-0.5551165158877958,0.7606060606060605
9,-0.7373800841335739,0.6181818181818182,-0.6637239923107943,0.6393939393939394,-1.218312605920492,0.6840909090909091,-0.7324601655369097,0.603030303030303
