,GradientBoosting_LogLoss,GradientBoosting_ROCAUC,LogReg_LogLoss,LogReg_ROCAUC,RandomForest_LogLoss,RandomForest_ROCAUC,XGB_LogLoss,XGB_ROCAUC
0,-0.20448509236495954,0.9862700228832952,-0.2059838588601306,0.9816933638443935,-0.7831900049720724,0.9290617848970252,-0.20396561245052297,0.9794050343249427
1,-0.25920426296687554,0.9519450800915332,-0.30782420374673525,0.9450800915331807,-0.22517268045677327,0.9610983981693364,-0.2577134932832197,0.9427917620137299
2,-0.2864719723564929,0.9450800915331807,-0.1938937202886358,0.9736842105263158,-0.8104433464376117,0.9170480549199085,-0.24908361852562177,0.9599542334096111
3,-0.22390049275313198,0.9665071770334928,-0.23779303940191435,0.9497607655502392,-0.17946620185459788,0.9641148325358851,-0.20579476553830317,0.9605263157894737
4,-0.21499413711146875,0.9820574162679425,-0.1951276807863005,0.978468899521531,-0.7739444921076788,0.924043062200957,-0.14374140830283674,0.9832535885167465
5,-0.20966528177928057,0.9581339712918661,-0.1200679360848087,0.9892344497607656,-0.7607757763296225,0.9413875598086124,-0.1849558823838985,0.9820574162679426
6,-0.24129814781805115,0.9641148325358851,-0.1600324254245998,0.9820574162679425,-0.1837171492735264,0.9772727272727273,-0.23362782299809623,0.9712918660287081
7,-0.04126285473220886,1.0,-0.09322708577455055,0.9964114832535885,-0.09559696023586808,1.0,-0.06836500806481732,0.9940191387559808
8,-0.16659827661791776,0.9844497607655501,-0.23925517154055637,0.9748803827751196,-0.17129296320637338,0.9832535885167465,-0.20486107488977723,0.9808612440191387
9,-0.21165982691550503,0.9742014742014743,-0.2465624537878592,0.9606879606879607,-0.2893591926845381,0.9459459459459459,-0.23321872086844297,0.9705159705159705
