,DX~All,DXSUB~All,DX~TMCQ,DX~Neuro
LogReg,-0.199976757569609,-0.617397845667778,-0.175953652692811,-0.598574748442654
RandomForest,-0.427295876755866,-1.65496821476772,-0.515931008135176,-1.10648020277535
GradientBoosting,-0.205954034541589,-0.650691672237549,-0.209848119831668,-0.680154928533461
XGB,-0.198532740730554,-0.594694504682453,-0.197153838781101,-0.663361014305146
