,fit_time,score_time,test_accuracy,test_neg_log_loss,test_roc_auc
LogReg,0.0036889076232910155,0.002004098892211914,0.9277427242083276,-0.17827552472723351,0.9789858039858039
RandomForest,0.1102144718170166,0.3052464485168457,0.9294098656411718,-0.6328913462916816,0.9568980434980435
GradientBoosting,0.10490689277648926,0.002810382843017578,0.9260905379100792,-0.21886094728918057,0.9697569751569752
XGB,0.04319519996643066,0.004462337493896485,0.9277147130038458,-0.20703330933446198,0.971983164983165
