,fit_time,score_time,test_accuracy,test_neg_log_loss,test_roc_auc,train_accuracy,train_neg_log_loss,train_roc_auc
LogReg,9.058307814598084,8.478089308738708,0.9171311475409837,-0.2029479445424121,0.9710994383191179,0.9463802980571241,-0.14272088510202446,0.9861793299583951
RandomForest,14.021144437789918,19.927121782302855,0.9204371584699453,-0.33195319898394315,0.9571666319950072,0.9907864603507914,-0.08007501321663171,0.998980779581624
GradientBoosting,18.1692893743515,32.66683313846588,0.9386885245901639,-0.21776406841204307,0.9721759933430413,0.9966833839609114,-0.03134754154183564,0.9994528017805709
XGB,22.96835160255432,47.10781397819519,0.9320491803278687,-0.2044031791016221,0.9713854795090493,0.9955784115852208,-0.0445419583726963,0.9992825056006517
