,fit_time,score_time,test_accuracy,test_neg_log_loss,test_roc_auc,train_accuracy,train_neg_log_loss,train_roc_auc
LogReg,0.0033639907836914063,0.0018973112106323241,0.9311262387700288,-0.17595365269281102,0.980918452257125,0.9411772506260047,-0.1506069533833575,0.9861138100281703
RandomForest,0.10999364852905273,0.30564327239990235,0.9345160692785033,-0.5159310081351756,0.9637937917114119,0.9957033730329764,-0.05502015973950192,0.9999252643566106
GradientBoosting,0.10881152153015136,0.0026711940765380858,0.9312100583495415,-0.20984811983166832,0.9733723061526265,0.9992523338364357,-0.029250083596996428,1.0
XGB,0.04699985980987549,0.0042057991027832035,0.9311544873575993,-0.19715383878110093,0.9753800763526164,0.9940249660027073,-0.04619189088771814,0.9999149058665857
