,fit_time,score_time,test_accuracy,test_neg_log_loss,test_roc_auc,train_accuracy,train_neg_log_loss,train_roc_auc
LogReg,3.356761336326599,7.360429072380066,0.6528676704148403,-0.5968936072137865,0.7172858840505898,0.6845984788002908,-0.5673732553826726,0.7507974620753023
RandomForest,8.393487453460693,19.61936538219452,0.6270726129216695,-0.9231769141602871,0.671533189033189,0.9711381789711477,-0.22157702695148873,0.9951784854225247
GradientBoosting,12.035842227935792,32.360868620872495,0.6253230417381361,-0.6780034194650282,0.6650123079534843,0.9567072772222204,-0.26836975416084097,0.9889290325820481
XGB,17.107729196548462,46.297090077400206,0.6475166761959215,-0.6650712975560827,0.655707919531449,0.9243475225720358,-0.3191064651319273,0.978730616666942
