,DX~All,DXSUB~All,DX~TMCQ,DX~Neuro
LogReg,-0.202947944542412,-0.609373207183157,-0.175953652692811,-0.596893607213787
RandomForest,-0.331953198983943,-1.48667044978557,-0.515931008135176,-0.923176914160287
GradientBoosting,-0.217764068412043,-0.634407637407124,-0.209848119831668,-0.678003419465028
XGB,-0.204403179101622,-0.589775211117144,-0.197153838781101,-0.665071297556083
