,DX~All,DXSUB~All,DX~TMCQ,DX~Neuro
LogReg,0.971099438319118,0.709591853545337,0.980918452257125,0.71728588405059
RandomForest,0.957166631995007,0.731431720726038,0.963793791711412,0.671533189033189
GradientBoosting,0.972175993343041,0.724683839138127,0.973372306152626,0.665012307953484
XGB,0.971385479509049,0.735916455675179,0.975380076352616,0.655707919531449
